basin_id,basin_name,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023
992,Ribeiras Do Algarve,0.1261,0.1311,0.1361,0.1331,0.1261,0.117,0.101,0.0841,0.0851,0.076,0.076
1551779250,Lima,0.848,0.781,0.7841,0.8221,0.8541,0.928,0.94,0.863,0.751,0.7551,0.696
68,Mira,0.37,0.368,0.366,0.3571,0.349,0.3411,0.329,0.3181,0.312,0.31,0.308
57,Vouga/ribeiras Costeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Ribeiras Do Oeste,0.7671,0.7691,0.776,0.741,0.7021,0.661,0.611,0.5671,0.5131,0.641,0.6531
1551779242,Ave,0.868,0.609,0.863,0.826,0.7841,0.8271,0.7771,0.731,0.4921,0.9471,0.7701
12,Douro,0.8101,0.821,0.8291,0.8271,0.788,0.771,0.7991,0.8001,0.806,0.835,0.7821
278,Lis/ribeiras Costeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Arade,0.418,0.4161,0.4071,0.3951,0.371,0.3521,0.3191,0.287,0.2671,0.2551,0.247
107,Cávado/ribeiras Costeiras,0.8041,0.7781,0.835,0.831,0.813,0.8371,0.8101,0.7841,0.7681,0.83,0.8821
38,Sado,0.554,0.59,0.61,0.601,0.568,0.5291,0.4511,0.3921,0.3621,0.368,0.3951
17,Tejo,0.868,0.815,0.8241,0.8191,0.8051,0.7721,0.721,0.691,0.6651,0.7121,0.7241
23,Guadiana,0.871,0.853,0.8291,0.8051,0.7801,0.745,0.706,0.6691,0.658,0.673,0.6801
47,Mondego,0.736,0.673,0.7791,0.8291,0.828,0.871,0.7851,0.695,0.6451,0.6741,0.6361
948,Ribeiras Do Alentejo,0.5411,0.5461,0.586,0.58,0.543,0.5101,0.468,0.425,0.399,0.425,0.491
