"albufcode","lat","lng","nome","rio"
"188","39.096329614","-7.12129496","Abrilongo","RIBEIRA DO ABRILONGO"
"64","40.340723246","-8.19670825","Aguieira","RIO MONDEGO"
"189","37.470242531","-7.493445622","Alcoutim","RIBEIRA DE CADAVAIS"
"87","41.30846296","-7.49105849","Alijó (Vila Chã)","RIBEIRA DA CHA"
"190","39.462164211","-8.383667236","Almourol (prevista)","RIO TEJO"
"191","38.197294284","-7.495338717","Alqueva","RIO GUADIANA"
"10","40.189794344","-7.84622942","Alto Ceira","RIO CEIRA"
"38","41.802763462","-7.877669118","Alto Cávado","RIO CÁVADO"
"83","41.872214166","-8.202710311","Alto Lindoso","RIO LIMA"
"39","41.737857863","-7.854005065","Alto Rabagão","RIO RABAGÃO"
"123","41.573328082","-7.731899979","Alto Tâmega (prevista)","RIO TÂMEGA"
"193","40.946789573","-8.182173381","Alvarenga","RIO PAIVA"
"59","38.278992023","-7.910600619","Alvito","RIBEIRA DE ODIVELAS OU ORIOLA OU ALVITO"
"194","39.736405188","-7.756668221","Alvito-Tejo (prevista)","RIO OCREZA"
"9","41.568912247","-8.19620656","Andorinhas","RIO AVE"
"86","39.350177699","-7.383837725","Apartadura","RIBEIRA DAS REVELADAS"
"23","37.239474177","-8.376264769","Arade","RIO ARADE"
"231","41.782631052","-7.380285133","Arcossó","RIBEIRA DE ARCUSSO"
"195","41.850282534","-8.708429787","Arga Baixo","RIBEIRO DE S. JOAO"
"196","41.096243264","-6.957439459","Arroio","RIBEIRA DO ARROIO"
"197","40.651814793","-7.027083372","Atalaia","RIO CÔA"
"70","41.556640637","-6.888078303","Azibo","RIO AZIBO"
"143","40.540312036","-7.337523357","Açude Pateiro","RIO MONDEGO"
"148","40.548784739","-8.07048314","Açude Pisões","RIO DINHA"
"212","39.455385428","-8.718219435","Açude Ponte da Pedra","RIO ALVIELA"
"97","40.256514718","-8.03407721","Açude Rei de Moinhos","RIO ALVA OU RIBEIRA DA FERVENÇA"
"99","40.756276378","-7.932912177","Açude Ribafeita","RIO VOUGA"
"120","41.717805464","-7.499405809","Açude Veiga Chaves/Aç.V.Verde Raia","RIO TÂMEGA"
"223","40.378818106","-7.688144505","Açude da Caniça","RIBEIRA DA CANICA OU DA LAGOA OU DA PRAGUEIRA"
"144","38.110252578","-7.629283897","Açude de Pedrogão","RIO GUADIANA"
"221","40.383155404","-7.708854098","Açude de Ponte Jugais","RIO ALVA OU RIBEIRA DA FERVENÇA"
"222","40.384670413","-7.70697213","Açude de Vila Cova","RIO ALVA OU RIBEIRA DA FERVENÇA"
"135","40.395196806","-7.694656318","Açude do Desterro","RIO ALVA OU RIBEIRA DA FERVENÇA"
"211","38.772842531","-8.126376049","Açude do Negro","RIBEIRA DA FANICA OU DE S. PEDRO"
"66","40.215739346","-8.440112291","Açude- Ponte de Coimbra","RIO MONDEGO"
"198","41.394562067","-6.659563028","Bastêlos","RIBEIRA DE MACEDO"
"78","37.27641351","-7.509227047","Beliche","RIBEIRA DE BELICHE"
"18","39.479669273","-7.998454273","Belver","RIO TEJO"
"220","41.301186099","-6.469883732","Bemposta","RIO DOURO"
"225","40.14022404","-7.083551937","Beságueda","RIO BESAGUEDA"
"199","40.956888706","-7.412554006","Bezêlga","RIBEIRA DE FENERAS"
"200","37.502975912","-8.090586952","Boavista","BARRANCO DA BOAVISTA"
"24","39.853658775","-8.219751662","Bouçã","RIO ZÊZERE"
"30","37.201749494","-8.697778463","Bravura","RIBEIRO DE ODEÁXERE"
"201","38.157005627","-6.998259509","Bufo","RIBEIRA DA MÚRTEGA"
"55","41.391011314","-7.050043264","Burga","RIBEIRA DO CEREJAL"
"7","40.804999376","-8.444693398","Burgães","RIO CAIMA"
"202","41.471729908","-7.713958779","Cabouços","RIBEIRA DE CABOUCO"
"21","39.917807098","-8.13282438","Cabril","RIO ZÊZERE"
"214","41.39598664","-7.15949946","Cachão",""
"42","38.997759167","-7.149294509","Caia","RIO CAIA"
"89","40.531724505","-7.330189497","Caldeirão","RIBEIRA DO CALDEIRÃO"
"203","39.496196271","-8.580151955","Caldeirão(Tejo)","RIO ALMONDA"
"213","41.445865205","-6.900919111","Camba","RIBEIRA DE LAMEIRÃO OU DA CAMBA"
"22","37.84145473","-8.61903302","Campilhas","RIBEIRA DE CAMPILHAS"
"25","41.652512365","-8.231342381","Caniçada","RIO CÁVADO"
"65","40.214738144","-7.382878319","Capinha","RIBEIRA DAS POLDRAS"
"48","41.085622402","-8.130973037","Carrapatelo","RIO DOURO"
"232","38.737323476","-7.902782991","Carrasqueira (Part.)","RIBEIRA DO CABIDO"
"204","41.508477474","-6.981049527","Carvalheira","RIBEIRA DA CARVALHEIRA OU DAS CALES"
"205","41.190722347","-6.925213703","Carviçais(V.Ferreiros)","RIBEIRA DO MONDEGO"
"224","40.185616272","-7.877293152","Castanheira",""
"206","41.05455444","-8.237496005","Castelo Paiva","RIO PAIVA"
"14","39.54304144","-8.318871258","Castelo de Bode","RIO ZÊZERE"
"207","40.890969341","-7.932602884","Castro Daire","RIO PAIVA"
"226","38.814960041","-8.229109571","Ciborro","RIBEIRA DAS BARROSAS"
"84","39.81696364","-7.903912435","Corgas","RIO ISNA"
"92","37.582816081","-8.443461857","Corte Brique","RIBEIRA DA CORTE BRIQUE"
"208","40.267398612","-7.575086268","Cortes","RIBEIRA DO PAUL OU CORTES"
"71","40.30934953","-7.560942993","Cova do Viriato","RIBEIRA DO PAUL OU CORTES"
"158","41.879413977","-8.706224726","Covas","RIO COURA"
"157","40.391442826","-7.600461428","Covão da Erva Fome",""
"209","40.336068836","-7.624630123","Covão da Lameira ou do Boeiro","RIBEIRA DE LORIGA"
"210","40.371441289","-7.64319171","Covão do Curral","RIBEIRA DO COVAO DO URSO OU DA NAVE DESCIDA OU DAS NAVES"
"27","40.313656957","-7.595352253","Covão do Ferro","RIBEIRA DE UNHAIS"
"155","40.368466768","-7.638315346","Covão do Forno","RIBEIRA DA CANICA OU DA LAGOA OU DA PRAGUEIRA"
"19","40.333943765","-7.632954079","Covão do Meio","RIBEIRA DE LORIGA"
"116","40.370769016","-7.62306279","Covão do Vale do Conde","RIBEIRA DO COVAO DO URSO OU DA NAVE DESCIDA OU DAS NAVES"
"156","40.364533402","-7.610088743","Covão dos Conchos","RIBEIRA DO COVAO DO URSO OU DA NAVE DESCIDA OU DAS NAVES"
"159","39.26071947","-7.558142427","Crato","RIBEIRA DA RAIA OU DE SEDA"
"229","39.326403652","-7.696085932","Crato (Nascentes)","RIBEIRA DA SEPELHEIRA"
"76","41.072885802","-8.486824008","Crestuma-Lever","RIO DOURO"
"160","41.525424798","-7.863508342","Daivões (prevista)","RIO TÂMEGA"
"161","37.905711294","-8.324252836","Daroeira","RIBEIRA DA MESSEJANA OU DE ALAMO"
"40","38.700487512","-7.925834136","Divor","RIO DIVÔR"
"162","40.741971179","-8.071878641","Drizes","RIO VOUGA"
"163","37.993922415","-7.465215446","Enxoé","RIBEIRA DO ENXOÉ"
"164","40.096521293","-8.226639641","Ermida","RIO AROUCE OU RIBEIRA DE SÃO JOÃO OU DA SARDEIRA"
"165","37.994281589","-8.359478318","Ermidas","RIO SADO OU RIBEIRA GRANDE OU DE OURIQUE"
"166","40.256915328","-7.285557888","Escarigo","RIBEIRA DO ESCARIGO"
"167","41.575958953","-8.157688172","Esperança","RIO AVE"
"168","41.28798396","-6.774291087","Estevais",""
"47","41.368494717","-6.955744911","Esteveinha (Alfândega da Fé)","RIBEIRA DE SOEIMA"
"75","40.634149485","-7.793359034","Fagilde","RIO DÃO"
